Date,Store,Category,Sales,Profit,Quantity
2024-01-01,A,Fruits,1660,431,34
2024-01-01,C,Bakery,1400,328,79
2024-01-01,C,Dairy,3688,560,58
2024-01-01,C,Beverages,4356,1097,70
2024-01-01,C,Snacks,2067,454,83
2024-01-01,B,Bakery,3547,655,99
2024-01-01,B,Dairy,3358,527,61
2024-01-01,C,Fruits,3534,635,81
2024-01-01,B,Snacks,1984,479,95
2024-01-01,B,Fruits,3191,580,49
2024-01-01,A,Bakery,930,147,41
2024-01-01,A,Dairy,4244,727,119
2024-01-01,A,Beverages,1266,200,106
2024-01-01,A,Snacks,4572,792,40
2024-01-01,B,Beverages,3704,847,68
2024-01-02,B,Bakery,2075,412,81
2024-01-02,C,Bakery,3495,531,107
2024-01-02,C,Dairy,3368,704,107
2024-01-02,C,Beverages,4684,713,84
2024-01-02,C,Snacks,1179,229,60
2024-01-02,C,Fruits,1137,270,72
2024-01-02,B,Dairy,4142,975,91
2024-01-02,A,Dairy,4814,1378,54
2024-01-02,B,Snacks,4643,718,73
2024-01-02,B,Fruits,3873,701,25
2024-01-02,A,Bakery,2755,687,69
2024-01-02,A,Beverages,2278,510,63
2024-01-02,A,Snacks,2163,467,111
2024-01-02,A,Fruits,2841,432,28
2024-01-02,B,Beverages,961,273,93
2024-01-03,B,Dairy,1006,167,34
2024-01-03,C,Bakery,3529,685,64
2024-01-03,C,Dairy,2522,711,105
2024-01-03,C,Beverages,2478,447,62
2024-01-03,C,Snacks,2557,615,42
2024-01-03,B,Bakery,2284,353,70
2024-01-03,B,Beverages,1302,291,33
2024-01-03,C,Fruits,3590,841,71
2024-01-03,B,Fruits,3531,999,105
2024-01-03,A,Bakery,4445,1110,107
2024-01-03,B,Snacks,3490,901,20
2024-01-03,A,Dairy,3904,802,67
2024-01-03,A,Beverages,1000,217,91
2024-01-03,A,Snacks,4361,1252,60
2024-01-03,A,Fruits,1191,319,54
2024-01-04,C,Dairy,1654,473,115
2024-01-04,C,Beverages,2960,667,21
2024-01-04,C,Snacks,2436,378,75
2024-01-04,C,Fruits,2091,469,58
2024-01-04,B,Bakery,4563,1349,81
2024-01-04,B,Dairy,4543,1061,115
2024-01-04,B,Beverages,1463,256,98
2024-01-04,C,Bakery,4274,981,21
2024-01-04,B,Fruits,2082,471,89
2024-01-04,A,Bakery,2106,316,81
2024-01-04,A,Dairy,3037,579,116
2024-01-04,A,Beverages,2463,501,111
2024-01-04,A,Snacks,4427,1256,103
2024-01-04,A,Fruits,3860,843,25
2024-01-04,B,Snacks,4548,763,116
2024-01-05,C,Bakery,4890,938,28
2024-01-05,C,Dairy,4523,1289,88
2024-01-05,C,Beverages,1423,269,79
2024-01-05,C,Snacks,4861,917,61
2024-01-05,C,Fruits,3185,800,20
2024-01-05,B,Bakery,1288,270,52
2024-01-05,B,Dairy,4019,660,115
2024-01-05,B,Beverages,2169,588,86
2024-01-05,B,Fruits,1947,346,78
2024-01-05,A,Bakery,2730,751,35
2024-01-05,A,Dairy,3731,914,117
2024-01-05,A,Beverages,1566,321,57
2024-01-05,A,Snacks,4310,885,94
2024-01-05,A,Fruits,3577,833,51
2024-01-05,B,Snacks,2594,515,39
2024-01-06,B,Dairy,2100,550,67
2024-01-06,C,Bakery,1759,315,116
2024-01-06,C,Dairy,4154,1118,46
2024-01-06,C,Beverages,4236,1202,70
2024-01-06,C,Snacks,4246,792,41
2024-01-06,B,Bakery,2018,395,36
2024-01-06,B,Beverages,4867,743,52
2024-01-06,C,Fruits,3535,800,95
2024-01-06,B,Fruits,3761,838,101
2024-01-06,A,Fruits,2482,687,67
2024-01-06,A,Snacks,3991,983,52
2024-01-06,A,Beverages,2448,655,91
2024-01-06,B,Snacks,4034,1206,99
2024-01-06,A,Bakery,3983,993,108
2024-01-06,A,Dairy,4999,1185,103
2024-01-07,C,Bakery,3606,979,45
2024-01-07,C,Dairy,3975,677,52
2024-01-07,C,Beverages,954,189,21
2024-01-07,C,Snacks,4814,981,105
2024-01-07,C,Fruits,2695,443,65
2024-01-07,B,Dairy,1984,348,86
2024-01-07,B,Beverages,3100,553,104
2024-01-07,B,Bakery,2616,723,114
2024-01-07,B,Fruits,1101,259,72
2024-01-07,A,Bakery,1860,371,43
2024-01-07,A,Dairy,3365,882,118
2024-01-07,A,Beverages,3005,576,112
2024-01-07,A,Snacks,3920,1172,36
2024-01-07,A,Fruits,1615,380,38
2024-01-07,B,Snacks,1499,241,116
2024-01-08,B,Bakery,3291,902,116
2024-01-08,C,Bakery,919,197,82
2024-01-08,C,Dairy,1435,224,49
2024-01-08,C,Beverages,4942,1213,118
2024-01-08,C,Snacks,1676,384,115
2024-01-08,C,Fruits,3851,841,24
2024-01-08,B,Dairy,2515,687,61
2024-01-08,A,Beverages,4915,789,84
2024-01-08,B,Snacks,4536,1049,77
2024-01-08,B,Fruits,3574,555,82
2024-01-08,A,Bakery,1966,465,111
2024-01-08,A,Dairy,3501,990,95
2024-01-08,A,Snacks,3750,915,76
2024-01-08,A,Fruits,3255,528,32
2024-01-08,B,Beverages,1948,464,41
2024-01-09,B,Dairy,2479,653,70
2024-01-09,C,Dairy,2435,534,52
2024-01-09,C,Beverages,3065,685,109
