,0
2024-12-31,40657.57543373238
2025-01-01,40157.381868136625
2025-01-02,40935.09256405367
2025-01-03,39738.25849417442
2025-01-04,41045.431874713446
2025-01-05,42009.85928509224
2025-01-06,41114.10795394466
2025-01-07,40342.897167296775
2025-01-08,39842.70360170102
2025-01-09,40620.41429761807
2025-01-10,39423.580227738814
2025-01-11,40730.75360827784
2025-01-12,41695.181018656636
2025-01-13,40799.42968750905
2025-01-14,40028.21890086116
2025-01-15,39528.02533526541
2025-01-16,40305.73603118246
2025-01-17,39108.90196130321
2025-01-18,40416.07534184223
2025-01-19,41380.50275222103
2025-01-20,40484.751421073444
2025-01-21,39713.54063442555
2025-01-22,39213.347068829804
2025-01-23,39991.05776474685
2025-01-24,38794.22369486759
2025-01-25,40101.397075406625
2025-01-26,41065.82448578542
2025-01-27,40170.07315463784
2025-01-28,39398.86236798995
2025-01-29,38898.6688023942
